name,combination,weights,cagr,risk
RI,"('RI',)",[1.0],8.129709070132085,38.82978723404255
x1,"('TECB',)",[1.0],15.356275592308855,44.230769230769226
x2,"('IWY',)",[1.0],15.073996800852552,34.659090909090914
x3,"('USXF',)",[1.0],14.955020029836863,38.297872340425535
x4,"('XVV',)",[1.0],12.215602021869131,36.36363636363637
x5,"('IHAK',)",[1.0],13.645715614863585,42.3728813559322
x6,"('QUAL',)",[1.0],13.413693587826092,35.08771929824561
x7,"('SUSL',)",[1.0],14.234285535841495,36.666666666666664
x8,"('DSI',)",[1.0],8.115219431353227,39.523809523809526
x9,"('MTUM',)",[1.0],12.319326092458605,36.84210526315789
x10,"('TECB', 'IWY')","[0.2, 0.8]",16.168405650313012,40.38461538461539
x11,"('TECB', 'IWY')","[0.4, 0.6]",15.967145609584122,40.38461538461539
x12,"('TECB', 'IWY')","[0.6, 0.4]",15.764714503546484,44.230769230769226
x13,"('TECB', 'IWY')","[0.8, 0.2]",15.561096540361131,44.230769230769226
x14,"('TECB', 'USXF')","[0.2, 0.8]",14.61912790262816,38.297872340425535
x15,"('TECB', 'USXF')","[0.4, 0.6]",14.28034000956937,38.297872340425535
x16,"('TECB', 'USXF')","[0.6, 0.4]",13.938597175938504,42.5531914893617
x17,"('TECB', 'USXF')","[0.8, 0.2]",13.593838302114047,44.680851063829785
x18,"('TECB', 'XVV')","[0.2, 0.8]",12.013096017912495,36.36363636363637
x19,"('TECB', 'XVV')","[0.4, 0.6]",11.809608996844156,38.63636363636363
x20,"('TECB', 'XVV')","[0.6, 0.4]",11.605129595913532,40.909090909090914
x21,"('TECB', 'XVV')","[0.8, 0.2]",11.39964624316021,43.18181818181818
x22,"('TECB', 'IHAK')","[0.2, 0.8]",13.624911926005879,42.30769230769231
x23,"('TECB', 'IHAK')","[0.4, 0.6]",14.066013543089984,44.230769230769226
x24,"('TECB', 'IHAK')","[0.6, 0.4]",14.501501455192889,42.30769230769231
x25,"('TECB', 'IHAK')","[0.8, 0.2]",14.931537311585297,44.230769230769226
x26,"('TECB', 'QUAL')","[0.2, 0.8]",13.423791852052847,36.53846153846153
x27,"('TECB', 'QUAL')","[0.4, 0.6]",13.917224626335244,34.61538461538461
