name,combination,weights,cagr,risk
RI,['RI'],[1.0],2.0,35.0
x1,['IWY'],[1.0],14.538053725749588,33.72093023255814
x2,"['URTH', 'IWY']","[0.2, 0.8]",14.11235716099597,33.33333333333333
x3,"['URTH', 'IWY']","[0.4, 0.6000000000000001]",12.878802127475165,34.074074074074076
x4,"['URTH', 'IWY']","[0.6000000000000001, 0.4]",11.489371494935718,32.592592592592595
x5,"['URTH', 'IWY']","[0.8, 0.2]",9.895984366167742,33.33333333333333
x6,['URTH'],[1.0],8.02353070161721,34.81481481481482
x7,"['AGT', 'IWY']","[0.2, 0.8]",12.909706575410752,32.55813953488372
x8,"['AGT', 'URTH', 'IWY']","[0.2, 0.2, 0.6000000000000001]",11.856220005601049,31.11111111111111
x9,"['AGT', 'URTH', 'IWY']","[0.2, 0.4, 0.4]",10.31991916586248,31.11111111111111
x10,"['AGT', 'URTH', 'IWY']","[0.2, 0.6000000000000001, 0.2]",8.527035144571338,31.851851851851855
x11,"['AGT', 'URTH']","[0.2, 0.8]",6.367003944746519,33.33333333333333
x12,"['AGT', 'IWY']","[0.4, 0.6000000000000001]",10.891427758006511,33.72093023255814
x13,"['AGT', 'URTH', 'IWY']","[0.4, 0.2, 0.4]",9.007677606586316,31.11111111111111
x14,"['AGT', 'URTH', 'IWY']","[0.4, 0.4, 0.2]",6.9543177692575675,33.33333333333333
x15,"['AGT', 'URTH']","[0.4, 0.6000000000000001]",4.394569680583471,34.81481481481482
x16,"['AGT', 'IWY']","[0.6000000000000001, 0.4]",8.219505807593407,34.30232558139535
x17,"['AGT', 'URTH', 'IWY']","[0.6000000000000001, 0.2, 0.2]",5.101525088842673,35.55555555555556
x18,"['AGT', 'URTH']","[0.6000000000000001, 0.4]",1.9453937199615634,37.03703703703704
x19,"['AGT', 'IWY']","[0.8, 0.2]",4.202839381967172,37.2093023255814
x20,"['AGT', 'URTH']","[0.8, 0.2]",-1.313386681782891,36.2962962962963
x21,['AGT'],[1.0],1.5002601503544266,38.732394366197184
x22,"['KXI', 'IWY']","[0.2, 0.8]",13.37856286013408,31.976744186046513
x23,"['KXI', 'URTH', 'IWY']","[0.2, 0.2, 0.6000000000000001]",12.480533784161896,32.592592592592595
x24,"['KXI', 'URTH', 'IWY']","[0.2, 0.4, 0.4]",11.035948055936107,32.592592592592595
x25,"['KXI', 'URTH', 'IWY']","[0.2, 0.6000000000000001, 0.2]",9.368503299382457,31.851851851851855
x26,"['KXI', 'URTH']","[0.2, 0.8]",7.391056784760308,34.81481481481482
x27,"['KXI', 'AGT', 'IWY']","[0.2, 0.2, 0.6000000000000001]",11.483036980207896,34.30232558139535
x28,"['KXI', 'AGT', 'URTH', 'IWY']","[0.2, 0.2, 0.2, 0.4]",9.813387853714083,31.11111111111111
x29,"['KXI', 'AGT', 'URTH', 'IWY']","[0.2, 0.2, 0.4, 0.2]",7.924943556063546,31.851851851851855
x30,"['KXI', 'AGT', 'URTH']","[0.2, 0.2, 0.6000000000000001]",5.621614519249918,35.55555555555556
x31,"['KXI', 'AGT', 'IWY']","[0.2, 0.4, 0.4]",9.02684107659999,34.883720930232556
x32,"['KXI', 'AGT', 'URTH', 'IWY']","[0.2, 0.4, 0.2, 0.2]",6.251392712456627,33.33333333333333
x33,"['KXI', 'AGT', 'URTH']","[0.2, 0.4, 0.4]",3.4836112261009466,37.03703703703704
x34,"['KXI', 'AGT', 'IWY']","[0.2, 0.6000000000000001, 0.2]",5.495632182048693,37.7906976744186
x35,"['KXI', 'AGT', 'URTH']","[0.2, 0.6000000000000001, 0.2]",0.766636046525071,35.55555555555556
x36,"['KXI', 'AGT']","[0.2, 0.8]",-0.8794098308840259,39.90384615384615
x37,"['KXI', 'IWY']","[0.4, 0.6000000000000001]",12.035534692878569,32.55813953488372
x38,"['KXI', 'URTH', 'IWY']","[0.4, 0.2, 0.4]",10.5627126179477,31.851851851851855
x39,"['KXI', 'URTH', 'IWY']","[0.4, 0.4, 0.2]",8.813581724638798,31.11111111111111
x40,"['KXI', 'URTH']","[0.4, 0.6000000000000001]",6.717931175870406,36.2962962962963
x41,"['KXI', 'AGT', 'IWY']","[0.4, 0.2, 0.4]",9.761568660868637,36.627906976744185
x42,"['KXI', 'AGT', 'URTH', 'IWY']","[0.4, 0.2, 0.2, 0.2]",7.286319898748639,34.074074074074076
x43,"['KXI', 'AGT', 'URTH']","[0.4, 0.2, 0.4]",4.818063602742884,37.03703703703704
x44,"['KXI', 'AGT', 'IWY']","[0.4, 0.4, 0.2]",6.606489123670545,36.627906976744185
x45,"['KXI', 'AGT', 'URTH']","[0.4, 0.4, 0.2]",2.4822076809956295,35.55555555555556
x46,"['KXI', 'AGT']","[0.4, 0.6000000000000001]",1.2130464021460785,38.46153846153847
x47,"['KXI', 'IWY']","[0.6000000000000001, 0.4]",10.436052295806775,36.04651162790697
x48,"['KXI', 'URTH', 'IWY']","[0.6000000000000001, 0.2, 0.2]",8.228042991229213,34.074074074074076
x49,"['KXI', 'URTH']","[0.6000000000000001, 0.4]",5.998254206747022,36.2962962962963
x50,"['KXI', 'AGT', 'IWY']","[0.6000000000000001, 0.2, 0.2]",7.581627860569995,36.04651162790697
x51,"['KXI', 'AGT', 'URTH']","[0.6000000000000001, 0.2, 0.2]",3.9459320772845086,37.03703703703704
x52,"['KXI', 'AGT']","[0.6000000000000001, 0.4]",2.773952692812043,38.94230769230769
x53,"['KXI', 'IWY']","[0.8, 0.2]",8.45149675246537,38.95348837209303
x54,"['KXI', 'URTH']","[0.8, 0.2]",5.224713950980098,40.74074074074074
x55,"['KXI', 'AGT']","[0.8, 0.2]",4.023393585130086,41.82692307692308
x56,['KXI'],[1.0],5.067369735915106,44.71153846153847
x57,"['IGSB', 'IWY']","[0.2, 0.8]",13.041092187655256,34.30232558139535
x58,"['IGSB', 'URTH', 'IWY']","[0.2, 0.2, 0.6000000000000001]",12.12708457550027,34.074074074074076
x59,"['IGSB', 'URTH', 'IWY']","[0.2, 0.4, 0.4]",10.631391178976003,34.074074074074076
x60,"['IGSB', 'URTH', 'IWY']","[0.2, 0.6000000000000001, 0.2]",8.894405203500643,32.592592592592595
x61,"['IGSB', 'URTH']","[0.2, 0.8]",6.816491767892918,34.81481481481482
x62,"['IGSB', 'AGT', 'IWY']","[0.2, 0.2, 0.6000000000000001]",11.058154692583066,31.976744186046513
x63,"['IGSB', 'AGT', 'URTH', 'IWY']","[0.2, 0.2, 0.2, 0.4]",9.359070650646807,31.851851851851855
x64,"['IGSB', 'AGT', 'URTH', 'IWY']","[0.2, 0.2, 0.4, 0.2]",7.379683131423631,33.33333333333333
x65,"['IGSB', 'AGT', 'URTH']","[0.2, 0.2, 0.6000000000000001]",4.9364244526757695,33.33333333333333
x66,"['IGSB', 'AGT', 'IWY']","[0.2, 0.4, 0.4]",8.449351801409088,34.883720930232556
x67,"['IGSB', 'AGT', 'URTH', 'IWY']","[0.2, 0.4, 0.2, 0.2]",5.608127827549825,34.074074074074076
x68,"['IGSB', 'AGT', 'URTH']","[0.2, 0.4, 0.4]",2.6310788842217825,37.03703703703704
x69,"['IGSB', 'AGT', 'IWY']","[0.2, 0.6000000000000001, 0.2]",4.579639318556539,36.04651162790697
x70,"['IGSB', 'AGT', 'URTH']","[0.2, 0.6000000000000001, 0.2]",-0.3706272488699036,37.03703703703704
x71,"['IGSB', 'AGT']","[0.2, 0.8]",-2.9957822554514957,39.21568627450981
x72,"['IGSB', 'KXI', 'IWY']","[0.2, 0.2, 0.6000000000000001]",11.638458910460248,33.13953488372093
x73,"['IGSB', 'KXI', 'URTH', 'IWY']","[0.2, 0.2, 0.2, 0.4]",10.139656439339495,32.592592592592595
x74,"['IGSB', 'KXI', 'URTH', 'IWY']","[0.2, 0.2, 0.4, 0.2]",8.313442081117195,31.851851851851855
x75,"['IGSB', 'KXI', 'URTH']","[0.2, 0.2, 0.6000000000000001]",6.103853958572891,35.55555555555556
x76,"['IGSB', 'KXI', 'AGT', 'IWY']","[0.2, 0.2, 0.2, 0.4]",9.235296879693022,34.30232558139535
x77,"['IGSB', 'KXI', 'AGT', 'URTH', 'IWY']","[0.2, 0.2, 0.2, 0.2, 0.2]",6.705799881545471,32.592592592592595
x78,"['IGSB', 'KXI', 'AGT', 'URTH']","[0.2, 0.2, 0.2, 0.4]",4.074803059253029,37.03703703703704
x79,"['IGSB', 'KXI', 'AGT', 'IWY']","[0.2, 0.2, 0.4, 0.2]",5.81654167027259,36.04651162790697
x80,"['IGSB', 'KXI', 'AGT', 'URTH']","[0.2, 0.2, 0.4, 0.2]",1.535532711961718,37.77777777777778
x81,"['IGSB', 'KXI', 'AGT']","[0.2, 0.2, 0.6000000000000001]",-0.39657438587576976,38.72549019607843
x82,"['IGSB', 'KXI', 'IWY']","[0.2, 0.4, 0.4]",9.952389569647057,34.30232558139535
x83,"['IGSB', 'KXI', 'URTH', 'IWY']","[0.2, 0.4, 0.2, 0.2]",7.6986680002192776,31.11111111111111
x84,"['IGSB', 'KXI', 'URTH']","[0.2, 0.4, 0.4]",5.338497144535181,35.55555555555556
x85,"['IGSB', 'KXI', 'AGT', 'IWY']","[0.2, 0.4, 0.2, 0.2]",6.886347952845928,37.2093023255814
x86,"['IGSB', 'KXI', 'AGT', 'URTH']","[0.2, 0.4, 0.2, 0.2]",3.1332108985774987,37.77777777777778
x87,"['IGSB', 'KXI', 'AGT']","[0.2, 0.4, 0.4]",1.430420732560167,38.72549019607843
x88,"['IGSB', 'KXI', 'IWY']","[0.2, 0.6000000000000001, 0.2]",7.830016694700426,38.372093023255815
x89,"['IGSB', 'KXI', 'URTH']","[0.2, 0.6000000000000001, 0.2]",4.511511606233554,40.74074074074074
x90,"['IGSB', 'KXI', 'AGT']","[0.2, 0.6000000000000001, 0.2]",2.846637504022387,40.19607843137255
x91,"['IGSB', 'KXI']","[0.2, 0.8]",4.006332460916151,45.588235294117645
x92,"['IGSB', 'IWY']","[0.4, 0.6000000000000001]",11.221609654008734,33.72093023255814
x93,"['IGSB', 'URTH', 'IWY']","[0.4, 0.2, 0.4]",9.699258213741647,34.074074074074076
x94,"['IGSB', 'URTH', 'IWY']","[0.4, 0.4, 0.2]",7.788448306817974,33.33333333333333
x95,"['IGSB', 'URTH']","[0.4, 0.6000000000000001]",5.451034341892114,36.2962962962963
x96,"['IGSB', 'AGT', 'IWY']","[0.4, 0.2, 0.4]",8.672880704021324,33.72093023255814
x97,"['IGSB', 'AGT', 'URTH', 'IWY']","[0.4, 0.2, 0.2, 0.2]",6.090982935615741,31.851851851851855
x98,"['IGSB', 'AGT', 'URTH']","[0.4, 0.2, 0.4]",3.2727974642031032,35.55555555555556
x99,"['IGSB', 'AGT', 'IWY']","[0.4, 0.4, 0.2]",4.939163803200186,34.883720930232556
x100,"['IGSB', 'AGT', 'URTH']","[0.4, 0.4, 0.2]",0.4887053341194214,37.77777777777778
x101,"['IGSB', 'AGT']","[0.4, 0.6000000000000001]",-2.0544993313118987,40.68627450980392
x102,"['IGSB', 'KXI', 'IWY']","[0.4, 0.2, 0.4]",9.438579959895055,33.13953488372093
x103,"['IGSB', 'KXI', 'URTH', 'IWY']","[0.4, 0.2, 0.2, 0.2]",7.141198259751369,31.851851851851855
x104,"['IGSB', 'KXI', 'URTH']","[0.4, 0.2, 0.4]",4.633456133454428,36.2962962962963
x105,"['IGSB', 'KXI', 'AGT', 'IWY']","[0.4, 0.2, 0.2, 0.2]",6.124977251050701,37.2093023255814
x106,"['IGSB', 'KXI', 'AGT', 'URTH']","[0.4, 0.2, 0.2, 0.2]",2.2490150013217747,38.51851851851852
x107,"['IGSB', 'KXI', 'AGT']","[0.4, 0.2, 0.4]",0.23697380571676696,38.23529411764706
x108,"['IGSB', 'KXI', 'IWY']","[0.4, 0.4, 0.2]",7.1567652458331965,37.2093023255814
x109,"['IGSB', 'KXI', 'URTH']","[0.4, 0.4, 0.2]",3.7446374308988117,36.2962962962963
x110,"['IGSB', 'KXI', 'AGT']","[0.4, 0.4, 0.2]",1.9103727910045887,38.72549019607843
x111,"['IGSB', 'KXI']","[0.4, 0.6000000000000001]",3.2340977332065757,45.09803921568628
x112,"['IGSB', 'IWY']","[0.6000000000000001, 0.4]",8.89044246210231,33.72093023255814
x113,"['IGSB', 'URTH', 'IWY']","[0.6000000000000001, 0.2, 0.2]",6.552311642948938,34.074074074074076
x114,"['IGSB', 'URTH']","[0.6000000000000001, 0.4]",3.8760761994817816,36.2962962962963
x115,"['IGSB', 'AGT', 'IWY']","[0.6000000000000001, 0.2, 0.2]",5.282979433485058,34.30232558139535
x116,"['IGSB', 'AGT', 'URTH']","[0.6000000000000001, 0.2, 0.2]",1.2787357058040572,37.77777777777778
x117,"['IGSB', 'AGT']","[0.6000000000000001, 0.4]",-1.238885098534459,41.66666666666667
x118,"['IGSB', 'KXI', 'IWY']","[0.6000000000000001, 0.2, 0.2]",6.4219048071592955,36.04651162790697
x119,"['IGSB', 'KXI', 'URTH']","[0.6000000000000001, 0.2, 0.2]",2.9148496916209465,36.2962962962963
x120,"['IGSB', 'KXI', 'AGT']","[0.6000000000000001, 0.2, 0.2]",0.8122877562162678,39.705882352941174
x121,"['IGSB', 'KXI']","[0.6000000000000001, 0.4]",2.3566768878409583,44.11764705882353
x122,"['IGSB', 'IWY']","[0.8, 0.2]",5.6124467832993075,35.46511627906977
x123,"['IGSB', 'URTH']","[0.8, 0.2]",2.010240260477558,34.074074074074076
x124,"['IGSB', 'AGT']","[0.8, 0.2]",-0.5185931795921195,41.66666666666667
x125,"['IGSB', 'KXI']","[0.8, 0.2]",1.339432263686846,41.17647058823529
x126,['IGSB'],[1.0],0.12683756790883294,46.568627450980394
x127,"['SDG', 'IWY']","[0.2, 0.8]",14.880286146901023,34.831460674157306
x128,"['SDG', 'URTH', 'IWY']","[0.2, 0.2, 0.6000000000000001]",13.405487752676425,33.70786516853933
